T_C,a_A_m,k_A_m,c,Ms_A_m,alpha,R2,R2_adj,RMSE_T
-38,3308.2,186.1,0.09190,1324668.5,0.0,0.99965,0.99965,0.02681
-35,3727.8,173.3,0.11801,1318903.2,0.0,0.99967,0.99967,0.02584
-30,4375.8,188.8,0.25571,1273077.3,0.0,0.99966,0.99966,0.02468
-25,4967.5,193.8,0.32105,1267269.8,0.0,0.99963,0.99963,0.02515
-20,5633.5,182.8,0.03972,1226972.5,0.0,0.99958,0.99958,0.02525
-15,6290.9,148.6,0.03071,1189073.8,0.0,0.99951,0.99951,0.02590
-10,6927.5,135.6,0.01276,1122055.1,0.0,0.99946,0.99946,0.02526
-5,5999.9,356.9,0.34606,1016462.1,0.0,0.99853,0.99852,0.03918
0,7263.3,178.0,0.02825,975639.5,0.0,0.99914,0.99914,0.02756
5,8126.3,187.4,0.21000,907788.7,0.0,0.99917,0.99917,0.02449
10,8103.6,170.9,0.16275,780613.4,0.0,0.99913,0.99913,0.02219
15,7535.9,143.9,0.01825,587643.4,0.0,0.99913,0.99913,0.01703
