T_C,a_A_m,k_A_m,c,Ms_A_m,alpha,R2,R2_adj,RMSE_T
-38,3507.9,266.9,0.30543,1348461.2,0.0,0.99951,0.99950,0.03210
-35,3864.5,243.3,0.26853,1327902.8,0.0,0.99964,0.99964,0.02685
-30,4441.5,207.4,0.21669,1291707.6,0.0,0.99951,0.99951,0.02947
-25,4996.8,175.6,0.17693,1252709.0,0.0,0.99948,0.99948,0.02987
-20,5530.4,147.9,0.14925,1210324.6,0.0,0.99948,0.99948,0.02817
-15,6042.3,124.3,0.13365,1163753.6,0.0,0.99932,0.99932,0.03045
-10,6532.5,104.8,0.13012,1111847.2,0.0,0.99938,0.99938,0.02717
-5,7000.9,89.4,0.13867,1052860.7,0.0,0.99924,0.99924,0.02811
0,7447.7,78.2,0.15930,983929.0,0.0,0.99920,0.99920,0.02659
5,7872.8,71.1,0.19200,899764.3,0.0,0.99915,0.99915,0.02478
10,8276.1,68.1,0.23679,788503.8,0.0,0.99910,0.99910,0.02251
15,8657.7,69.2,0.29365,609526.3,0.0,0.99882,0.99882,0.01990
