T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
20;10000;desc;0;6054.3;0.03801
20;10000;desc;1;5993.7;0.03610
20;10000;desc;2;5933.2;0.03552
20;10000;desc;3;5872.7;0.03499
20;10000;desc;4;5812.1;0.03436
20;10000;desc;5;5751.6;0.03432
20;10000;desc;6;5691.0;0.03403
20;10000;desc;7;5630.5;0.03348
20;10000;desc;8;5569.9;0.03312
20;10000;desc;9;5509.4;0.03294
20;10000;desc;10;5448.9;0.03236
20;10000;desc;11;5388.3;0.03221
20;10000;desc;12;5327.8;0.03220
20;10000;desc;13;5267.2;0.03191
20;10000;desc;14;5206.7;0.03165
20;10000;desc;15;5146.1;0.03140
20;10000;desc;16;5085.6;0.03092
20;10000;desc;17;5025.1;0.03047
20;10000;desc;18;4964.5;0.03018
20;10000;desc;19;4904.0;0.02987
20;10000;desc;20;4843.4;0.02956
20;10000;desc;21;4782.9;0.02932
20;10000;desc;22;4722.3;0.02920
20;10000;desc;23;4661.8;0.02909
20;10000;desc;24;4601.3;0.02844
20;10000;desc;25;4540.7;0.02763
20;10000;desc;26;4480.2;0.02750
20;10000;desc;27;4419.6;0.02749
20;10000;desc;28;4359.1;0.02731
20;10000;desc;29;4298.5;0.02692
20;10000;desc;30;4238.0;0.02640
20;10000;desc;31;4177.5;0.02591
20;10000;desc;32;4116.9;0.02581
20;10000;desc;33;4056.4;0.02542
20;10000;desc;34;3995.8;0.02470
20;10000;desc;35;3935.3;0.02454
20;10000;desc;36;3874.7;0.02427
20;10000;desc;37;3814.2;0.02397
20;10000;desc;38;3753.7;0.02382
20;10000;desc;39;3693.1;0.02370
20;10000;desc;40;3632.6;0.02336
20;10000;desc;41;3572.0;0.02269
20;10000;desc;42;3511.5;0.02222
20;10000;desc;43;3450.9;0.02189
20;10000;desc;44;3390.4;0.02137
20;10000;desc;45;3329.9;0.02089
20;10000;desc;46;3269.3;0.02066
20;10000;desc;47;3208.8;0.02047
20;10000;desc;48;3148.2;0.02020
